Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000032290300,เจ อาร์ เอส 2021,,0133AB,,,NonActive,,QSouth,0816982779,0816981818,,,,,ต.หาดใหญ่,สงขลา,,,,,0905564002433,,20220309T13:49:28+07:00,20250407T09:32:46+07:00,20251219T09:14:42+07:00,กมลรัตน์ เทศนีย์,PPW 10k20k,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,,34/2 ถนนชีอุทิศ,,
3015191000051813400,ฉลองวงศ์พานิช,,,,,New Accounts,,QSouth,0816999982,0872957751,073614310,,,,สุไหงโกลก,นราธิวาส,,,,,,,20230915T11:09:46+07:00,20250804T09:59:37+07:00,20251023T11:21:14+07:00,กมลรัตน์ เทศนีย์,,1.2.2.1 โรงน้ำแข็ง,นามบุคคล,10795,565 ซ4 ถ.ประชาวิวัฒน์ ต.สุไหงโกลก อ.สุไหงโกลก จ.นราธิวาส,,
3015191000013829600,สำราญอาหารสัตว์,,,,,New Accounts,,QCentral,0819664769,,0819664769,,,,,สระบุรี,,,,,0193560001926,,20200915T15:35:56+07:00,20250404T11:52:23+07:00,20251215T16:25:57+07:00,วีรวรรณ รอบแคว้น,PPW 20k50k,1.1.1.1 โรงงานอาหารสัตว์ Feedmill Company,ห้างหุ้นส่วนจำกัด,10802,195 หมู่ที่ 7 ต.ซับสนุ่น อ.มวกเหล็ก,,
3015191000013408000,ราชาฟีดส์,,,,,New Accounts,,QCentral,0817101975,086 377 7712,0817101975,,,,,สระบุรี,,,,,0195548000381,,20200831T14:38:21+07:00,20250404T11:52:23+07:00,20251215T16:25:57+07:00,วีรวรรณ รอบแคว้น,PPW 20k50k,1.1.1.1 โรงงานอาหารสัตว์ Feedmill Company,บริษัทจำกัด,10802,311312 หมู่ที่ 1 ถนนมิตรภาพ ต.มิตรภาพ อ.มวกเหล็ก จ.สระบุรี,,
3015191000043503600,นายชัชพรรษ จอมศักดิ์,,,,,New Accounts,,QNorth,0817161821,,,,,,,ลำพูน,,,,,,,20230210T16:30:25+07:00,20250305T10:23:06+07:00,20250305T10:23:06+07:00,สุนิษา ภิญโญ,Account ซ้ำกัน,1.2.2.1 โรงน้ำแข็ง,นามบุคคล,,185 หมู่ 9 ต.เมืองลำพูน อ.เมืองลำพูน,,
3015191000020285000,วารีเทพ ม่วงสามสิบ,,,,,New Accounts,,QEsan,0817188315,,0817188315,,,,อ.ม่วงสามสิบ,อุบลราชธานี,,,,,0345558000667,,20210329T09:29:31+07:00,20251216T11:17:32+07:00,20251216T11:17:37+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 35k,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,25 หมู่บ้านม่วงสามสิบ หมู่ที่ 1 ต.ม่วงสามสิบ,,
3015191000014815000,เดชอุดม กิจวารี,,,,,New Accounts,,QEsan,045-475073,,045475073,,,,อ.เดชอุดม,อุบลราชธานี,,,,,0343558002552,,20201016T19:00:42+07:00,20251216T11:18:04+07:00,20251216T11:18:46+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.2.1 โรงน้ำแข็ง,ห้างหุ้นส่วนจำกัด,10795,264 หมู่ที่ 2 ต.ท่าโพธิ์ศรี,,
3015191000013638000,โรงน้ำแข็งรุ่งทรัพย์พรหมชัย,,,,,New Accounts,,QNorth,053-726647,0817217741,053726647,,,,ต.แม่กรณ์,เชียงราย,,,,,0573546000370,,20200908T13:15:28+07:00,20250529T11:41:52+07:00,20251211T14:37:16+07:00,สุนิษา ภิญโญ,PPW 010k,1.2.2.1 โรงน้ำแข็ง,ห้างหุ้นส่วนจำกัด,10795,121 หมู่7,,
3015191000009928000,โรงน้ำแข็งกิจวารีโคราช,,0381AA,,,Active,,QEsan,0817251731,,,,,,เมืองนครราชสีมา,นครราชสีมา,,เมืองนครราชสีมา,นครราชสีมา,,0303547002408,,20200203T08:52:30+07:00,20251216T11:18:04+07:00,20251216T11:18:46+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.2.1 โรงน้ำแข็ง,ห้างหุ้นส่วนจำกัด,10795,324 ม.1 ต.ปรุใหญ่,,
3015191000024390000,บี เอ็ม,,,,,New Accounts,,QWest,0817369117,,035595265,,,,,สุพรรณบุรี,,,,,,,20210806T08:36:08+07:00,20240722T16:59:59+07:00,20240722T16:59:59+07:00,ชินดนัย ศรีธรรม,"mook  ไม่มีข้อมูล, เลิกกิจการ",1.2.2.1 โรงน้ำแข็ง,นามบุคคล,,310/9 ม.1 ถ.อู่ทองบ้านไร่ ต.ด่านช้าง อ.ด่านช้าง,,
