Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000088672000,แป้งมัน เม่งเส็ง,,,,,,,QEsan,044-448178,,0885920609,,https://www.mengseng.co.th/,,,นครราชสีมา,,,นครราชสีมา,,0305555003452,220000000,20251111T15:55:34+07:00,20251212T17:10:23+07:00,20251216T11:23:12+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),,1.2.3.1 โรงงานแป้งมัน,บริษัทจำกัด,,99 หมู่ที่ 20 ต.ห้วยบง อ.ด่านขุนทด จ.นครราชสีมา,,
3015191000072255500,โชคยืนยงอุตสาหกรรม,,,,,,,Key Account,044-756305,,,,https://www.cyystarch.com/,,,นครราชสีมา,,,นครราชสีมา,,0305546000985,,20241129T13:43:57+07:00,20250903T09:15:42+07:00,20251215T09:44:55+07:00,ศิริษา ศรีสุข,FIBC,1.2.3.1 โรงงานแป้งมัน,บริษัทจำกัด,,โชคยืนยงอุตสาหกรรม 100 หมู่ 5 ตำบลโป่งแดง ขามทะเลสอ นครราชสีมา,,
3015191000021222400,โคราชโรงสียงสงวน,,,,,New Accounts,,QEsan,044953333,,044953334,,https://www.kysgroup.net/,,อ.เมืองนครราชสีมา,นครราชสีมา,,,,,0305548001466,,20210506T17:10:30+07:00,20251216T11:17:32+07:00,20251226T10:33:41+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.1.1 ข้าวตรา,บริษัทจำกัด,46201,282 หมู่ที่ 1 ต.โคกสูง,,
3015191000003451400,อุบลเกษตรพลังงาน,,0006AA,0006อุบลเกษตรพลังงาน,06,Active,,QEsan,045252777,,,,,,อ.นาเยีย,อุบลราชธานี,,,,,0345549000218,,20181108T09:55:20+07:00,20251216T11:18:20+07:00,20251218T16:44:06+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 10k20k,1.2.3.1 โรงงานแป้งมัน,บริษัทจำกัด,,299 หมู่ที9 ต.นาดี,,
3015191000013430300,อุบลไบโอเกษตร,,0006AB,0006อุบลเกษตรพลังงาน,06,Active,,QEsan,045252777,,,,,,,อุบลราชธานี,,,,,0345549000218,,20200901T11:23:16+07:00,20251216T11:18:04+07:00,20251218T17:00:51+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 10k20k,1.2.3.1 โรงงานแป้งมัน,บริษัทจำกัด,,299 หมู่ที9 ต.นาดี อ.นาเยีย,,
3015191000051932000,เอช.เค.ลานทองคอนกรีต 1997,,,,,New Accounts,,QEsan,093-418-4848,,,,,,ตระการพืชผล,อุบลราชธานี,,,,,0343540000396,,20230919T14:05:05+07:00,20251214T13:30:11+07:00,20251215T16:25:49+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.2.1 โรงน้ำแข็ง,ห้างหุ้นส่วนจำกัด,10795,229 หมู่ 6 ต.คอนสาย,,
3015191000021222400,โรงสีเกียรติดำรง,,,,,New Accounts,,QEsan,045612872,,,,,,อำเภอ เมืองศรีสะเกษ,ศรีสะเกษ,,,,,,,20210506T17:14:00+07:00,20251216T11:17:32+07:00,20251216T11:17:37+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 35k,1.2.1.1 ข้าวตรา,นามบุคคล,,194/6 หมู่ 6 ถนน ศรีษะเกษกันทรลักษ์ ตำบล โพนข่า,,
3015191000014815000,โรงน้ำแข็งกันทรลักษ์กิจวารี,,,,,New Accounts,,QEsan,045-662933,,,,,,อ.กันทรลักษ์,ศรีสะเกษ,,,,,0335554000174,,20201016T19:01:40+07:00,20251216T11:18:04+07:00,20251222T11:37:05+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 35k,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,59 หมู่ที่ 6 ต.น้ำอ้อม,,
3015191000018602500,โรงน้ำแข็งรุ่งวิวัฒน์,,,,,New Accounts,,QEsan,045691691,,0980976589,,,,อ.อุทุมพรพิสัย,ศรีสะเกษ,,,,,,,20210202T11:38:31+07:00,20251216T11:17:48+07:00,20251222T10:40:56+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),"เลิกกิจการ, โอนออก",1.2.2.1 โรงน้ำแข็ง,นามบุคคล,10795,829 ม.7 ต.กำแพง,,
3015191000021222400,โรงสีพงษ์เจริญ,,,,,New Accounts,,QEsan,045781387,,045781388,,https://www.nokthakurice.com/contact.html,,อ.เลิงนกทา,ยโสธร,,,,,0343508000017,,20210506T17:09:37+07:00,20251216T11:17:32+07:00,20251222T13:41:28+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.1.1 ข้าวตรา,ห้างหุ้นส่วนจำกัด,10611,324 หมู่ที่ 1 ถนนปทุมเทวา ต.สวาท,,
3015191000018784000,กิมชุนไอซ์ เลิงนกทา,,,,,NonActive,,QEsan,045781879,,0897131565,,,,,ยโสธร,,,,,0355562000277,,20210205T20:46:12+07:00,20251216T11:17:32+07:00,20251216T11:17:37+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),"PPW 510k, กลุ่มเฮียกิตติ",1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,76 หมู่ที่ 2 ตำบลสามแยก อำเภอเลิงนกทา จ.ยโสธร 35120,,
3015191000020176000,วารีเทพ คำเขื่อนแก้ว,,,,,NonActive,,QEsan,045791236,,0853119315,,,,อ.คำเขื่อนแก้ว,ยโสธร,,,,,0345559000938,,20210324T15:14:29+07:00,20251216T11:17:32+07:00,20251216T11:17:37+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 35k,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,124 หมู่ที่ 2 ต.ดงเจริญ,,
3015191000037384000,เอี่ยมอำนาจ แป้งมัน,,,,,NonActive,,QEsan,045811087,,0637376979,,,,อ.ชานุมาน,อำนาจเจริญ,,,,,0335559000113,,20201209T08:37:08+07:00,20251220T17:01:08+07:00,20251220T17:01:08+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),FIBC,1.2.3.1 โรงงานแป้งมัน,บริษัทจำกัด,10622,199 หมู่ที่ 9 ต.โคกสาร อ.ชานุมาน,,
3015191000049295000,สหกรณ์การเกษตรเมืองอุบลราชธานี,,,,,New Accounts,,QEsan,045950274,,,,,,อ.เมืองอุบลราชธานี,อุบลราชธานี,,,,,1434101000739,,20230713T15:04:27+07:00,20251214T13:48:56+07:00,20251216T09:13:17+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.1.1 ข้าวตรา,สหกรณ์ จำกัด,กสก.5,274 ม.2 ถ.อุบลตระการ ต.ไร่น้อย,,
3015191000078200000,เชียงใหม่ เทอร์โมพลาสติก,,,,,,,QNorth,052088900,,0642492249,,,,,เชียงใหม่,,,,,0505560003374,1000000,20250326T13:39:06+07:00,20250327T09:17:23+07:00,20251215T09:44:55+07:00,สุนิษา ภิญโญ,,2.2.3 สีทาถนน,บริษัทจำกัด,,558 หมู่ที่ 10 ต.หนองหาร อ.สันทราย,,
3015191000058060300,มนัสนันท์ มีสุขเจ้าสำราญ,,,,,New Accounts,,QNorth,0-,,,,,,,เชียงใหม่,,,,,,,20240213T13:45:46+07:00,20240722T17:15:35+07:00,20251215T09:44:55+07:00,สุนิษา ภิญโญ,,1.2.2.1 โรงน้ำแข็ง,นามบุคคล,,2 ซ.12 ถ.ศรีลานนา ต.ป่าตัน อ.เมืองเชียงใหม่,,
