Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000032504000,ปุ๋ยไวกิ้ง,,,,,New Accounts,,QCentral,0-24239500,,,,,,,นนทบุรี,,,,,0105522020244,218698000,20220316T17:34:52+07:00,20250325T11:06:17+07:00,20251215T16:24:11+07:00,วีรวรรณ รอบแคว้น,PPW 20k50k,2.1.1 ปุ๋ยเคมี,บริษัทจำกัด,20121,111 หมู่ที่ 2 ถนนนครอินทร์ ต.บางขุนกอง อ.บางกรวย,,
3015191000016057300,สระบุรีวารีเทพ,,,,,New Accounts,,QCentral,"036-212905,  081-8154384",,036351883,063 192 4106,,,แก่งคอย,สระบุรี,,,,,0255557001245,,20201119T17:07:51+07:00,20251020T10:54:37+07:00,20251020T10:54:37+07:00,วีรวรรณ รอบแคว้น,"PPW 010k, ไม่เปิดรับ",1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,ถ. ต.บ้านป่า,,
3015191000037925000,บริษัท อุตสาหกรรมโคราช จำกัด (โรงงานน้ำตาลพิมาย),,0005AC,0005น้ำตาลโคราช,05,NonActive,,QEsan,0-,,0868777519,,,,,กรุงเทพมหานคร,,,นครราชสีมา,,0105533144501,,20200925T09:32:12+07:00,20251216T09:46:58+07:00,20251216T09:49:52+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),,1.2.4.1 โรงงานน้ำตาล,บริษัทจำกัด,,701 ถนนไมตรีจิตต์ แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพฯ 10100,,
3015191000040227000,รวมเกษตรกรอุตสาหกรรม (ภูเขียว),Mitrphol Sugar,0008AM,0008น้ำตาลมิตรผล,08,Active,,Key Account,0-,,,,,,,,ประเทศไทย,,,,0715520000011,,20221110T17:15:09+07:00,20250426T09:48:28+07:00,20251219T10:10:38+07:00,ปุณยวีร์ สพัดรัมย์,,1.2.4.1 โรงงานน้ำตาล,บริษัทจำกัด,10722,มิตรผล เพลินจิตเซ็นเตอร์ 2 ถนน สุขุมวิท,,
3015191000000278500,น้ำตาลมิตรผล (ด่านช้าง),Mitrphol Sugar,0008AA,0008น้ำตาลมิตรผล,08,Active,,Key Account,0-,,,,,,,,ประเทศไทย,,,,1055180117590000,,20180207T15:37:59+07:00,20250722T11:51:32+07:00,20251215T09:44:55+07:00,ปุณยวีร์ สพัดรัมย์,Mitrphol,1.2.4.1 โรงงานน้ำตาล,บริษัทจำกัด,,มิตรผล เพลินจิตเซ็นเตอร์ 2 ถนน สุขุมวิท,,
3015191000014234600,ไฮมิก,,0092AA,0092ไฮมิก,092,NonActive,,QEast,0-,,027102871,,http://www.hymix.co.th/,,Racha Thewa,สมุทรปราการ,ไทย,,สมุทรปราการ,,0105533121675,,20200925T13:09:28+07:00,20250402T15:42:11+07:00,20251215T09:45:01+07:00,สุนิสา กล้าแข็ง,รอ Verify,2.3.2 Plastic Compound Resin,บริษัทจำกัด,20131,52/3 หมู่ 3 ตำบลบางแก้ว บางพลี สมุทรปราการ 10540,,
3015191000000144400,เซ็นทรัลลิส,,,,,Active,,,0-,,,,http://www.centralisteam.com,,อ.ปากเกร็ด,นครปฐม,Thailand,อ.กำแพงแสน,นครปฐม,Thailand,,,20180124T00:13:34+07:00,20240726T11:51:01+07:00,20240726T11:51:01+07:00,หิมวัต ถนัดค้า,Feedmill,Feedmill,,,55/416 ม.9 ถ.แจ้งวัฒนะ ต.บางพูด,,
3015191000014247000,เอี่ยมบูรพา,,0208AA,0208เอี่ยมบูรพา,0208,Active,,QEast,0-,,037247691,,http://www.eiamburapa.com/index_th.php?lang=TH,,,สระแก้ว,,,สระบุรี,,0305543000208,,20200925T15:44:49+07:00,20240722T12:09:26+07:00,20251215T09:45:01+07:00,สุนิสา กล้าแข็ง,รอ Verify,1.2.3.1 โรงงานแป้งมัน,บริษัทจำกัด,,เอี่ยมบูรพา 98 ม.2 ต.หนองน้ำใส อ.วัฒนานคร จ .สระแก้ว 27160,,
3015191000079632400,ไอกะ บางกอก,,,,,,,QEast,0-,,,,,,,สมุทรปราการ,,,,,0105536052291,105000000,20250429T17:04:38+07:00,20250505T10:04:42+07:00,20251215T09:44:55+07:00,สุนิสา กล้าแข็ง,,2.7 Non Food อื่นๆ,บริษัทจำกัด,,156/2 หมู่ที่ 17 ถนนบางนาตราด กม.23 ต.บางเสาธง อ.บางเสาธง,,
3015191000076851000,คาโอ อินดัสเตรียล (ประเทศไทย),,,,,,,QEast,0-,,,,www.kaosmileclub.com,,,ชลบุรี,,,,,0105507002214,,20250228T13:24:38+07:00,20250521T10:42:41+07:00,20251216T14:10:26+07:00,ใหม่ พันธวงษ์,,2.7 Non Food อื่นๆ,บริษัทจำกัด,20231,700/313 หมู่ที่ 6 นิคมอุตสาหกรรมอมตะซิตี้ ชลบุรี ต.ดอนหัวฬ่อ อ.เมืองชลบุรี,,
