Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000067644000,โชติวัฒน์ฮาร์ดแวร์,,,,,,,QCentral,022220006,02 221 9303,,,,,,กรุงเทพมหานคร,,,,,0103525036697,2000000,20240827T16:20:39+07:00,20250929T11:25:12+07:00,20251203T15:51:16+07:00,วีรวรรณ รอบแคว้น,,2.7 Non Food อื่นๆ,ห้างหุ้นส่วนจำกัด,46639,551 ถ.วรจักร แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กทม. 10100,,
3015191000048979000,วิสาหกิจชุมชนกลุ่มผลิตเมล็ดพันธุ์ข้าวตำบลนางลือท่าชัย,,,,,New Accounts,,QNorth,0878513192,,056942083,,,,,ชัยนาท,,,,,,,20230705T10:36:47+07:00,20240831T14:51:10+07:00,20251215T15:03:11+07:00,สุนิษา ภิญโญ,,2.1.5.1 เมล็ดพันธ์ข้าว,นามบุคคล,,2 หมู่ที่ 10 ต.ท่าชัย อ.เมืองชัยนาท,,
3015191000014267400,ทรัพย์อุดมธารา,,0349AB,0349กิตติวรภัทร,0349,NonActive,,QWest,035-588792,,035588791,,,,บางปลาม้า,สุพรรณบุรี,,,,,0725555001219,,20200926T09:25:15+07:00,20240722T12:19:00+07:00,20251203T16:35:19+07:00,ชินดนัย ศรีธรรม,ก้อง,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,ต.บางปลาม้า,,
3015191000020420000,เกียรติมุกดา พรีเมี่ยมไอซ์,,,,,NonActive,,QEsan,0879624079,,0879624079,,,,อ.เมืองมุกดาหาร,มุกดาหาร,,,,,0495558000224,,20210401T11:09:50+07:00,20251216T11:17:32+07:00,20251222T14:17:11+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 10k20k,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,99/9 หมู่บ้าน คำอาฮวน หมู่ที่ 1 ต.คำอาฮวน,,
3015191000088659000,ดีไวน์สตาร์ช,,,,,,,QEsan,0880837744,,,,,,,อุดรธานี,,,,,0415562002422,263000000,20251110T16:31:12+07:00,20251212T17:12:25+07:00,20251225T10:41:02+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),,1.2.3.1 โรงงานแป้งมัน,บริษัทจำกัด,,31 หมู่ที่ 13 ต.หนองนาคำ อ.เมืองอุดรธานี จ.อุดรธานี,,
3015191000049382000,เวสโก้ เคมี ประเทศไทย,,,,,New Accounts,,QCentral,0881608790,,029324993,,http://www.wesco.co.th/15090701/%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B9%80%E0%B8%A3%E0%B8%B2,,เขตลาดพร้าว,กรุงเทพมหานคร,,,,,0105521003966,5000000,20230714T12:39:09+07:00,20241024T15:32:23+07:00,20251215T16:23:12+07:00,วีรวรรณ รอบแคว้น,,2.1.3 เคมีการเกษตร,บริษัทจำกัด,46692,10 ซอยนาคนิวาส 21 แยก 21 ถนนนาคนิวาส แขวงลาดพร้าว,,
3015191000030109000,ซีออน แอดวานซ์ โพลีมิกซ์,,,,,New Accounts,,QEast,038-893565-8,,0882030380,,,,,ระยอง,,,,,0115538003875,100000000,20220105T09:24:59+07:00,20240726T16:22:42+07:00,20250702T20:10:29+07:00,สุนิสา กล้าแข็ง,,2.3.3 Masterbatch,บริษัทจำกัด,,111/2 ซอยนิคม 13 หมู่ 2 ต.มะขามคู่ อ.นิคมพัฒนา,,
3015191000048587300,สัญญา 9 พันธุ์ข้าว,,,,,New Accounts,,QNorth,0882823059,,0912576257,,,,,ชัยนาท,,,,,,,20230623T13:12:35+07:00,20240831T14:51:10+07:00,20251103T15:35:22+07:00,สุนิษา ภิญโญ,,2.1.5.1 เมล็ดพันธ์ข้าว,บริษัทจำกัด,,,,
3015191000048152000,ปุณยวีร์ สพัดรัมย์,,,,,New Accounts,,QEsan,0883995556,,,,,,,,,,,,,,20230608T14:49:06+07:00,20251216T11:17:13+07:00,20251216T11:17:30+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),โอนออก,,บริษัทจำกัด,,,,
3015191000048333300,แกรนด์ เพ็ท โปรดักท์,,0651AA,,,Active,,QWest,0885559556,,,,,,,สุพรรณบุรี,,,,,0725554000154,5000000,20230614T19:27:59+07:00,20240730T09:01:10+07:00,20251009T12:59:49+07:00,อิสราวลี ตนเสาวภาคย์ชลที,,1.1.1.1 โรงงานอาหารสัตว์ Feedmill Company,บริษัทจำกัด,10802,78/9 หมู่ที่ 10 ต.ทะเลบก อ.ดอนเจดีย์ จ.สุพรรณบุรี,,
3015191000059615000,โรงน้ำแข็ง อ.ลักขณาชุมแพ,,,,,New Accounts,,QEsan,0885575698,,,,,,ชุมแพ,ขอนแก่น,,,,,0405553001265,4000000,20240313T08:36:14+07:00,20251214T12:28:34+07:00,20251215T11:25:43+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),PPW 510k,1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,239 หมู่ที่ 4 ต.โนนหัน,,
3015191000030616000,สหกรณ์โคนมไทยเดนมาร์ค (มิตรภาพ),,,,,New Accounts,,QCentral,0886334808,0625910642,0908154405,062 591 0642,,,,สระบุรี,,,,,0994000549644,,20220118T17:31:40+07:00,20250529T09:51:02+07:00,20251229T10:51:30+07:00,วีรวรรณ รอบแคว้น,"PPW 20k50k, BD",1.1.1.2 โรงงานอาหารสัตว์สหกรณ์ Feedmill Coop,สหกรณ์ จำกัด,,99/1 หมู่ 10 ตำบลมิตรภาพ อำเภอมวกเหล็ก จังหวัดสระบุรี,,
3015191000014234000,คุณเอ๋,,,,,New Accounts,,QCentral,0886471212,,,,,,,พระนครศรีอยุธยา,,,,,,,20200925T11:26:52+07:00,20250404T11:52:38+07:00,20250430T09:34:01+07:00,วีรวรรณ รอบแคว้น,Suspect,1.2.2.1 โรงน้ำแข็ง,นามบุคคล,,,,
3015191000063386000,ด็อกเตอร์กรีน,,,,,New Accounts,,QNorth,0886963344,,,,,,,สิงห์บุรี,,,สิงห์บุรี,,0135551009351,1000000,20240529T13:35:42+07:00,20240722T17:02:37+07:00,20251113T13:31:24+07:00,สุนิษา ภิญโญ,,2.1.2 ปุ๋ยอินทรีย์/สารปรับปรุงดิน/สารเสริมพืช(ไม่ทำปุ๋ยเคมี),บริษัทจำกัด,,"140 ม.1, ถ.สายเอเซีย, ต.ชีน้ำร้าย อ.อินทร์บุรี",,
3015191000049038000,กิมชุนไอซ์ ศีขรภูมิ,,,,,New Accounts,,QEsan,0887077177,,,,,,อ.ศีขรภูมิ,สุรินทร์,,,,,0355564000380,,20230706T14:38:27+07:00,20251214T13:50:47+07:00,20251214T13:51:07+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),"PPW 510k, กลุ่มเฮียวิชิต",1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,77 หมู่ที่ 9 บ้านโจดศิริ ต.ยาง,,
3015191000049034000,กิมชุนไอซ์ จอมพระ,,,,,New Accounts,,QEsan,0887077177,,,,,,อ.จอมพระ,สุรินทร์,,,,,0355564000398,,20230706T14:38:12+07:00,20251214T13:52:06+07:00,20251214T13:52:20+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),"PPW 510k, กลุ่มเฮียวิชิต",1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,177 หมู่ที่ 6 บ้านวารไพรศรี ต.หนองสนิท,,
3015191000049032000,มวลชลไอซ์ จตุรพักตรพิมาน,,,,,New Accounts,,QEsan,0887077177,,,,,,อ.จตุรพักตรพิมาน,ร้อยเอ็ด,,,,,0355564000274,,20230706T14:37:54+07:00,20251214T13:52:40+07:00,20251216T09:24:37+07:00,รังสิยา หมื่นวิจิตร (ลูกหว้า),"PPW 510k, กลุ่มเฮียวิชิต",1.2.2.1 โรงน้ำแข็ง,บริษัทจำกัด,10795,44 หมู่ที่ 4 ถนนปัทมานนท์ บ้านขุมดิน ต.น้ำใส,,
3015191000032341000,นาย กฤษฎา เสวกพันธุ์,,0029AB,,,NonActive,,QWest,0887883416,,,,,,,,,,,,3800101137718,,20220310T11:42:39+07:00,20250422T09:34:51+07:00,20251215T13:11:12+07:00,ชินดนัย ศรีธรรม,ก้อง,2.1.2 ปุ๋ยอินทรีย์/สารปรับปรุงดิน/สารเสริมพืช(ไม่ทำปุ๋ยเคมี),นามบุคคล,,,,
